Size of N=20:
0,00005900000000000000	2432	76
0,00005600000000000000	2432	76
0,00004600000000000000	2432	76
0,00004600000000000000	2432	76
0,00006400000000000000	2432	76
0,00006000000000000000	2432	76
0,00006400000000000000	2432	76
0,00006400000000000000	2432	76
0,00006400000000000000	2432	76
0,00005900000000000000	2432	76

Size of N=200:
0,00048500000000000003	25472	796
0,00049299999999999995	25472	796
0,00049799999999999996	25472	796
0,00059100000000000005	25472	796
0,00049899999999999999	25472	796
0,00049799999999999996	25472	796
0,00048799999999999999	25472	796
0,00050000000000000001	25472	796
0,00049500000000000000	25472	796
0,00048700000000000002	25472	796

Size of N=1000:
0,00239799999999999996	127872	3996
0,00242299999999999981	127872	3996
0,00412699999999999959	127872	3996
0,00241999999999999984	127872	3996
0,00253499999999999993	127872	3996
0,00246999999999999997	127872	3996
0,00245200000000000019	127872	3996
0,00239600000000000013	127872	3996
0,00241099999999999995	127872	3996
0,00240799999999999998	127872	3996

Size of N=10000:
0,02525399999999999867	1279872	39996
0,02227799999999999919	1279872	39996
0,02060499999999999832	1279872	39996
0,02021200000000000080	1279872	39996
0,02028200000000000142	1279872	39996
0,02012299999999999853	1279872	39996
0,02012999999999999859	1279872	39996
0,01991599999999999968	1279872	39996
0,01975599999999999926	1279872	39996
0,01984599999999999906	1279872	39996

Size of N=100000:
0,20132300000000000195	12799872	399996
0,19846399999999997377	12799872	399996
0,20214999999999999636	12799872	399996
0,19820399999999996354	12799872	399996
0,20289399999999999102	12799872	399996
0,20065700000000000203	12799872	399996
0,20152999999999998693	12799872	399996
0,19884799999999999698	12799872	399996
0,19703599999999998893	12799872	399996
0,20039100000000001356	12799872	399996

Size of N=1000000:
2,00341199999999997061	127999872	3999996
1,99692300000000000360	127999872	3999996
2,04661600000000021282	127999872	3999996
1,99749299999999996302	127999872	3999996
2,00670899999999985397	127999872	3999996
2,11325800000000008083	127999872	3999996
1,99473799999999990007	127999872	3999996
2,02950799999999986767	127999872	3999996
2,13104599999999999582	127999872	3999996
1,99235600000000001586	127999872	3999996
