Size of N=20: 
0.00005000000000000000	2432	76
0.00005800000000000000	2432	76
0.00006300000000000000	2432	76
0.00005000000000000000	2432	76
0.00006300000000000000	2432	76
0.00006700000000000000	2432	76
0.00006200000000000000	2432	76
0.00005800000000000000	2432	76
0.00005300000000000000	2432	76
0.00006300000000000000	2432	76

Size of N=200: 
0.00062900000000000000	25472	796
0.00050299999999999997	25472	796
0.00051999999999999995	25472	796
0.00049799999999999996	25472	796
0.00049799999999999996	25472	796
0.00050100000000000003	25472	796
0.00050100000000000003	25472	796
0.00049799999999999996	25472	796
0.00052200000000000000	25472	796
0.00055300000000000000	25472	796

Size of N=1000: 
0.00242099999999999997	127872	3996
0.00256500000000000001	127872	3996
0.00250199999999999988	127872	3996
0.00281199999999999983	127872	3996
0.00242399999999999994	127872	3996
0.00250400000000000015	127872	3996
0.00244899999999999979	127872	3996
0.00242599999999999977	127872	3996
0.00242299999999999981	127872	3996
0.00242099999999999997	127872	3996

Size of N=10000: 
0.02586199999999999957	1279872	39996
0.02180299999999999946	1279872	39996
0.02397600000000000078	1279872	39996
0.02113500000000000101	1279872	39996
0.02160000000000000114	1279872	39996
0.02352599999999999830	1279872	39996
0.02050199999999999939	1279872	39996
0.02050599999999999992	1279872	39996
0.02380399999999999877	1279872	39996
0.02059499999999999872	1279872	39996

Size of N=100000: 
0.20417300000000004889	12799872	399996
0.20502500000000001279	12799872	399996
0.20385600000000000942	12799872	399996
0.19983300000000001062	12799872	399996
0.20120699999999999696	12799872	399996
0.19969400000000003814	12799872	399996
0.19878399999999998848	12799872	399996
0.19605000000000000204	12799872	399996
0.20012699999999999934	12799872	399996
0.20366799999999998794	12799872	399996

Size of N=1000000: 
2.04159800000000002385	127999872	3999996
2.02653699999999981074	127999872	3999996
2.25940299999999982816	127999872	3999996
2.27306499999999989114	127999872	3999996
2.06056300000000014450	127999872	3999996
2.07466699999999981685	127999872	3999996
2.02425699999999997303	127999872	3999996
2.02969599999999994466	127999872	3999996
2.01547099999999979048	127999872	3999996
2.03703499999999992909	127999872	3999996

