Size of N=20: 
0.00001500000000000000	2432	76
0.00000900000000000000	2432	76
0.00001500000000000000	2432	76
0.00001600000000000000	2432	76
0.00001500000000000000	2432	76
0.00001600000000000000	2432	76
0.00001600000000000000	2432	76
0.00001600000000000000	2432	76
0.00001600000000000000	2432	76
0.00001700000000000000	2432	76

Size of N=200: 
0.00008400000000000000	25472	796
0.00008300000000000000	25472	796
0.00008300000000000000	25472	796
0.00008400000000000000	25472	796
0.00008400000000000000	25472	796
0.00008400000000000000	25472	796
0.00008400000000000000	25472	796
0.00008400000000000000	25472	796
0.00008400000000000000	25472	796
0.00008400000000000000	25472	796

Size of N=1000: 
0.00039799999999999997	127872	3996
0.00037999999999999997	127872	3996
0.00038099999999999999	127872	3996
0.00038099999999999999	127872	3996
0.00042299999999999998	127872	3996
0.00038099999999999999	127872	3996
0.00046200000000000001	127872	3996
0.00039599999999999998	127872	3996
0.00040099999999999999	127872	3996
0.00039500000000000001	127872	3996

Size of N=10000: 
0.00372200000000000005	1279872	39996
0.00372300000000000018	1279872	39996
0.00372399999999999988	1279872	39996
0.00373600000000000017	1279872	39996
0.00375900000000000019	1279872	39996
0.00376999999999999991	1279872	39996
0.00372799999999999998	1279872	39996
0.00381099999999999972	1279872	39996
0.00374500000000000006	1279872	39996
0.00372200000000000005	1279872	39996

Size of N=100000: 
0.03627999999999999975	12799872	399996
0.03156500000000000278	12799872	399996
0.03160299999999999915	12799872	399996
0.03149799999999999822	12799872	399996
0.03135299999999999893	12799872	399996
0.03125800000000000106	12799872	399996
0.03090400000000000091	12799872	399996
0.03180399999999999894	12799872	399996
0.03145699999999999885	12799872	399996
0.03141000000000000042	12799872	399996

Size of N=1000000: 
0.32418299999999999894	127999872	3999996
0.31629699999999999482	127999872	3999996
0.31098799999999998667	127999872	3999996
0.31519600000000003170	127999872	3999996
0.31999699999999997591	127999872	3999996
0.31351600000000001689	127999872	3999996
0.30874699999999999367	127999872	3999996
0.30962499999999998357	127999872	3999996
0.31637199999999998656	127999872	3999996
0.30885000000000001341	127999872	3999996

