Size of N=20:
0,00000800000000000000	2432	76
0,00001800000000000000	2432	76
0,00001600000000000000	2432	76
0,00002800000000000000	2432	76
0,00001600000000000000	2432	76
0,00001600000000000000	2432	76
0,00001700000000000000	2432	76
0,00001700000000000000	2432	76
0,00001700000000000000	2432	76
0,00001700000000000000	2432	76

Size of N=200:
0,00008400000000000000	25472	796
0,00008400000000000000	25472	796
0,00008400000000000000	25472	796
0,00008400000000000000	25472	796
0,00008400000000000000	25472	796
0,00008400000000000000	25472	796
0,00008500000000000001	25472	796
0,00008600000000000000	25472	796
0,00008400000000000000	25472	796
0,00008400000000000000	25472	796

Size of N=1000:
0,00037999999999999997	127872	3996
0,00038099999999999999	127872	3996
0,00039999999999999996	127872	3996
0,00041199999999999999	127872	3996
0,00040099999999999999	127872	3996
0,00190400000000000009	127872	3996
0,00039500000000000001	127872	3996
0,00039499999999999995	127872	3996
0,00038099999999999999	127872	3996
0,00039599999999999998	127872	3996

Size of N=10000:
0,00373900000000000014	1279872	39996
0,00377500000000000014	1279872	39996
0,00419700000000000021	1279872	39996
0,00375800000000000006	1279872	39996
0,00530000000000000002	1279872	39996
0,00376500000000000012	1279872	39996
0,00376800000000000008	1279872	39996
0,00372399999999999988	1279872	39996
0,00420200000000000001	1279872	39996
0,00373099999999999994	1279872	39996

Size of N=100000:
0,03685999999999999693	12799872	399996
0,03234700000000000075	12799872	399996
0,03234800000000000175	12799872	399996
0,03071000000000000119	12799872	399996
0,03134699999999999986	12799872	399996
0,03125499999999999806	12799872	399996
0,03137500000000000011	12799872	399996
0,03246700000000000280	12799872	399996
0,03845399999999998819	12799872	399996
0,03144700000000000273	12799872	399996

Size of N=1000000:
0,31361600000000000588	127999872	3999996
0,31709999999999999298	127999872	3999996
0,31645900000000004582	127999872	3999996
0,30911699999999997512	127999872	3999996
0,31643500000000002181	127999872	3999996
0,30966100000000001957	127999872	3999996
0,31274099999999999122	127999872	3999996
0,31315099999999995717	127999872	3999996
0,30901600000000001289	127999872	3999996
0,30892900000000000915	127999872	3999996
