Size of N=20: 
0.07715199999999999836	2432	76
0.07548499999999999654	2432	76
0.07546100000000000030	2432	76
0.07546899999999999442	2432	76
0.08081699999999999995	2432	76
0.07680399999999999727	2432	76
0.08237700000000000577	2432	76
0.07613000000000000322	2432	76
0.08164399999999999435	2432	76
0.07440700000000000092	2432	76

Size of N=200: 
0.07930900000000000449	25472	796
0.07004799999999999915	25472	796
0.07016799999999999427	25472	796
0.06955200000000000271	25472	796
0.06989199999999999580	25472	796
0.07012699999999999489	25472	796
0.06975900000000000156	25472	796
0.06961199999999999333	25472	796
0.07054599999999999760	25472	796
0.06988300000000000067	25472	796

Size of N=1000: 
0.31748900000000002120	127872	3996
0.32295699999999999408	127872	3996
0.31766700000000003268	127872	3996
0.31661700000000003730	127872	3996
0.31778600000000001291	127872	3996
0.31974800000000003219	127872	3996
0.32061699999999998534	127872	3996
0.31513299999999999645	127872	3996
0.31719699999999995121	127872	3996
0.32045099999999998586	127872	3996

Size of N=10000: 
0.31939400000000001123	1279872	39996
0.31846000000000002084	1279872	39996
0.31087199999999998168	1279872	39996
0.31364999999999998437	1279872	39996
0.30964999999999998082	1279872	39996
0.30944800000000000084	1279872	39996
0.31141700000000005488	1279872	39996
0.30998399999999998178	1279872	39996
0.30979299999999998505	1279872	39996
0.30946099999999998609	1279872	39996

Size of N=100000: 
0.31326100000000001167	12799872	399996
0.31258700000000000374	12799872	399996
0.30904799999999998938	12799872	399996
0.30923600000000001087	12799872	399996
0.30767500000000003180	12799872	399996
0.31319599999999997442	12799872	399996
0.31631900000000001683	12799872	399996
0.30915099999999995362	12799872	399996
0.31207600000000002005	12799872	399996
0.31330099999999999616	12799872	399996

Size of N=1000000: 
0.30954999999999999183	127999872	3999996
0.30911899999999997712	127999872	3999996
0.31656099999999998129	127999872	3999996
0.30918899999999999162	127999872	3999996
0.30950199999999999934	127999872	3999996
0.31004399999999998627	127999872	3999996
0.30930200000000002136	127999872	3999996
0.30834000000000000297	127999872	3999996
0.31020300000000000651	127999872	3999996
0.30854399999999998494	127999872	3999996

