Size of N=20:
0,09525899999999999646	2432	76
0,07316499999999999393	2432	76
0,07551700000000000079	2432	76
0,07327400000000000579	2432	76
0,07427300000000000568	2432	76
0,07742499999999999383	2432	76
0,07355000000000000426	2432	76
0,07668999999999999428	2432	76
0,07553500000000001879	2432	76
0,07477200000000000513	2432	76

Size of N=200:
0,07601800000000000224	25472	796
0,07059400000000000397	25472	796
0,07020600000000000451	25472	796
0,06973799999999999444	25472	796
0,07755900000000000294	25472	796
0,07114399999999999891	25472	796
0,07015000000000000402	25472	796
0,06995899999999999341	25472	796
0,07259000000000000175	25472	796
0,06967099999999999682	25472	796

Size of N=1000:
0,31986999999999998767	127872	3996
0,31734600000000007247	127872	3996
0,31836599999999998234	127872	3996
0,32033400000000000762	127872	3996
0,31690300000000004577	127872	3996
0,31767699999999998717	127872	3996
0,31913800000000003276	127872	3996
0,31076399999999998469	127872	3996
0,31682599999999999651	127872	3996
0,31736200000000003296	127872	3996

Size of N=10000:
0,31960600000000000120	1279872	39996
0,30953500000000000458	1279872	39996
0,31049499999999996547	1279872	39996
0,31511699999999998045	1279872	39996
0,30953999999999998183	1279872	39996
0,30791599999999996751	1279872	39996
0,30427999999999999492	1279872	39996
0,30976100000000000856	1279872	39996
0,30924600000000002087	1279872	39996
0,31054599999999998872	1279872	39996

Size of N=100000:
0,31870699999999996255	12799872	399996
0,31251800000000001800	12799872	399996
0,31253199999999997649	12799872	399996
0,30903999999999998138	12799872	399996
0,30912099999999997912	12799872	399996
0,30890400000000001191	12799872	399996
0,31252999999999997449	12799872	399996
0,31852200000000002733	12799872	399996
0,30934099999999997710	12799872	399996
0,30985099999999998754	12799872	399996

Size of N=1000000:
0,30933100000000002261	127999872	3999996
0,31251400000000001400	127999872	3999996
0,30896499999999998964	127999872	3999996
0,30857099999999998419	127999872	3999996
0,30742300000000000182	127999872	3999996
0,31661200000000000454	127999872	3999996
0,31247099999999999875	127999872	3999996
0,31311800000000000743	127999872	3999996
0,30309000000000002606	127999872	3999996
0,30926599999999998536	127999872	3999996
